,Smiles,Molecule ChEMBL ID
98,O=C(/C=C/C1=Cc2ccccc2OC1)c1ccc(C(F)(F)F)cc1,CHEMBL4440945
99,COc1ccc(C(=O)/C=C/C2=Cc3ccccc3OC2)cc1OC,CHEMBL4562121
100,Cc1nc(C2CCCCC2)c(-c2ccc(S(N)(=O)=O)cc2)o1,CHEMBL290031
101,CS(=O)(=O)c1ccc(-c2ccc(F)c(F)c2-c2ccc(F)c(Cl)c2)cc1,CHEMBL185420
102,CS(=O)(=O)c1ccc(-c2ccc([N+](=O)[O-])cc2-c2ccccc2)cc1,CHEMBL170180
103,CCCCC#CCSc1ccccc1OC(C)=O,CHEMBL345018
104,CC(C(=O)O)c1cc(C(=O)c2ccccc2)ccc1O,CHEMBL274587
105,CC1(O)OC(=O)C(c2ccc(Br)cc2)=C1c1ccc(S(C)(=O)=O)cc1,CHEMBL273815
106,CCc1csc(Sc2cc3c(cc2NS(C)(=O)=O)CCC3=O)n1,CHEMBL289731
107,NS(=O)(=O)c1ccc(-n2nc(C(=O)OCCOc3cc(=O)oc4ccccc34)cc2-c2ccccc2)cc1,CHEMBL4065986
108,COc1cccc(-c2cc(C(=O)OCCOc3cc(=O)oc4ccccc34)nn2-c2ccc(S(N)(=O)=O)cc2)c1,CHEMBL4077653
109,NS(=O)(=O)c1ccc(-n2nc(C(=O)OCCOc3ccc4ccc(=O)oc4c3)cc2-c2ccccc2)cc1,CHEMBL4079043
110,NS(=O)(=O)c1ccc(-n2nc(C(=O)OCCOc3ccc4ccc(=O)oc4c3)cc2-c2ccc(F)cc2)cc1,CHEMBL4102241
111,CS(=O)(=O)c1ccc(-c2nn(CC(=O)Nc3ccccc3)c(C(F)(F)F)c2-c2ccc(F)cc2)cc1,CHEMBL67721
112,Oc1cc(O)c2cc(O)c(-c3ccc(O)c(O)c3)[o+]c2c1,CHEMBL404515
113,CC(=O)Oc1ccccc1C(=O)O,CHEMBL25
114,CS(=O)(=O)c1ccc(C2=C(C#Cc3ccccc3)C(=O)CC2)cc1,CHEMBL278336
115,CS(=O)(=O)c1ccc(C2=C(c3ccc(F)c(F)c3)CCC2)cc1,CHEMBL111657
116,COc1c(O)cc(O)c2c(=O)cc(-c3ccccc3)oc12,CHEMBL16171
117,CC(=O)c1cc(/C=C/S(N)(=O)=O)cc(C(=O)c2ccccc2)c1,CHEMBL150773
118,CCSc1nnc(-c2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)s1,CHEMBL279801
119,CS(=O)(=O)c1ccc(-c2sc3ncnn3c2-c2ccccc2)cc1,CHEMBL158316
120,CS(=O)(=O)c1ccc(-c2cc(Br)sc2-c2ccc(F)cc2)cc1,CHEMBL42485
121,CN(c1ccccc1)c1cnccc1NS(=O)(=O)C(F)(F)F,CHEMBL224401
122,O=S(=O)(Nc1ccncc1Nc1ccccc1)C(F)(F)F,CHEMBL224400
123,CCS(=O)(=O)Nc1ccncc1Oc1ccccc1,CHEMBL376143
124,CC1(Cn2ncc(-c3ccc(S(C)(=O)=O)cc3)c(-c3ccc(F)cc3)c2=O)CC1,CHEMBL154253
125,COc1ccc(Sc2c(C)[nH]c3cc(S(C)(=O)=O)ccc23)cc1,CHEMBL184281
126,Cc1cncc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)c1,CHEMBL105766
127,CS(=O)(=O)c1ccc(-c2cnn(Cc3ccccc3)c(=O)c2OCC2CC2)cc1,CHEMBL155898
128,O=C1COCCN1c1ccc(Nc2nc(Cl)nc(NCc3ccccc3)n2)cc1,CHEMBL4173674
129,CS(=O)(=O)c1ccc(-c2sc(-c3ccc(Cl)cc3)nc2-c2ccc(F)cc2)cc1,CHEMBL277116
130,CC1(C)OC(=O)C(OC2CCCCC2)=C1c1ccc(S(C)(=O)=O)cc1,CHEMBL70104
