GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
165,15.11,30.25,1.31,0.0,0.32,0.0,-4.3,36.06,26.94,-85.16,-74.96,3.2,20.54,-71.76,-51.22
166,9.98,30.11,2.24,0.0,0.05,0.0,-4.98,40.7,31.42,-88.56,-77.22,3.22,20.98,-73.99,-53.01
167,14.5,24.63,0.73,0.0,0.13,0.0,-2.24,37.0,25.68,-86.66,-73.89,3.25,13.77,-70.64,-56.87
168,14.77,29.19,2.51,0.0,0.23,0.0,-5.39,39.75,26.13,-83.37,-77.38,3.23,23.82,-74.15,-50.33
169,11.62,31.39,0.74,0.0,0.07,0.0,-4.11,40.65,32.77,-90.02,-75.63,3.23,23.11,-72.39,-49.29
170,10.29,34.44,2.18,0.0,0.1,0.0,-6.24,34.09,28.52,-82.85,-76.28,3.25,20.55,-73.04,-52.49
171,13.83,21.17,-0.49,0.0,0.3,0.0,-5.56,37.38,31.07,-84.57,-77.16,3.22,13.13,-73.94,-60.82
172,7.93,36.1,2.88,0.0,0.13,0.0,-6.46,37.39,26.9,-84.13,-76.09,3.25,20.74,-72.84,-52.11
173,13.92,26.3,5.29,0.0,0.14,0.0,-6.26,39.54,26.96,-88.58,-75.39,3.25,17.31,-72.14,-54.83
174,12.22,26.81,2.29,0.0,0.23,0.0,-3.37,37.88,28.01,-88.24,-75.21,3.25,15.82,-71.96,-56.14
175,13.52,28.94,1.31,0.0,0.05,0.0,-5.7,39.06,27.25,-85.0,-77.09,3.24,19.42,-73.85,-54.43
176,13.9,24.71,1.99,0.0,0.29,0.0,-5.75,41.04,25.36,-87.67,-77.57,3.23,13.87,-74.34,-60.47
177,11.15,35.97,1.43,0.0,0.44,0.0,-3.85,37.51,29.78,-88.05,-74.29,3.22,24.38,-71.08,-46.69
178,14.27,30.81,2.51,0.0,0.14,0.0,-6.26,41.15,29.94,-87.49,-77.35,3.22,25.07,-74.13,-49.06
179,10.08,31.61,3.06,0.0,0.21,0.0,-2.55,33.55,26.3,-81.48,-73.86,3.26,20.78,-70.6,-49.82
180,15.89,26.59,3.57,0.0,0.33,0.0,-3.85,36.84,25.0,-81.82,-78.03,3.22,22.55,-74.81,-52.26
181,12.37,30.47,1.18,0.0,0.11,0.0,-6.01,38.39,27.86,-84.77,-76.7,3.25,19.59,-73.45,-53.86
182,14.54,35.73,3.97,0.0,0.25,0.0,-4.13,41.04,30.08,-84.83,-81.19,3.24,36.65,-77.95,-41.3
183,15.56,29.29,0.1,0.0,0.09,0.0,-5.4,42.03,27.87,-86.43,-79.29,3.25,23.1,-76.03,-52.93
184,14.61,31.72,0.79,0.0,0.18,0.0,-5.59,35.24,25.64,-82.56,-76.64,3.24,20.03,-73.41,-53.37
185,10.98,28.44,2.44,0.0,0.11,0.0,-4.72,41.87,25.38,-83.0,-79.29,3.24,21.5,-76.05,-54.55
186,12.46,32.06,0.25,0.0,0.1,0.0,-2.76,33.03,27.05,-81.03,-75.6,3.24,21.15,-72.37,-51.22
187,11.45,30.04,0.47,0.0,0.06,0.0,-2.98,36.05,25.69,-83.22,-76.38,3.24,17.55,-73.14,-55.59
188,8.84,27.15,1.2,0.0,0.06,0.0,-3.03,43.37,27.98,-84.41,-81.41,3.22,21.17,-78.2,-57.02
189,10.99,29.18,5.48,0.0,0.16,0.0,-5.48,37.17,29.13,-85.24,-75.13,3.24,21.38,-71.89,-50.51
190,19.37,35.71,3.22,0.0,0.08,0.0,-5.33,38.91,27.58,-84.0,-78.19,3.24,35.54,-74.95,-39.41
191,12.76,32.57,2.22,0.0,0.09,0.0,-2.93,40.7,26.42,-86.63,-79.26,3.22,25.2,-76.04,-50.84
192,11.62,33.98,3.96,0.0,0.01,0.0,-6.48,37.53,27.41,-85.26,-75.83,3.24,22.78,-72.59,-49.81
193,6.62,30.3,1.57,0.0,0.2,0.0,-4.74,39.96,31.76,-86.0,-74.34,3.23,19.68,-71.11,-51.44
194,13.26,32.69,2.04,0.0,0.08,0.0,-5.59,38.82,31.93,-87.16,-77.45,3.24,26.07,-74.2,-48.13
195,12.87,32.65,0.53,0.0,0.11,0.0,-4.62,42.14,27.81,-88.47,-79.2,3.25,23.03,-75.95,-52.92
196,13.77,38.39,2.91,0.0,0.1,0.0,-5.57,38.84,26.88,-86.76,-79.62,3.27,28.57,-76.35,-47.79
197,9.63,42.88,2.69,0.0,0.05,0.0,-5.08,44.24,27.42,-86.4,-81.8,3.24,35.43,-78.56,-43.13
198,9.38,36.96,2.12,0.0,0.14,0.0,-6.64,35.56,34.15,-82.93,-75.57,3.24,28.74,-72.33,-43.59
199,9.2,28.36,2.47,0.0,0.1,0.0,-5.61,35.16,28.19,-81.32,-74.52,3.24,16.55,-71.28,-54.74
200,12.12,30.26,3.99,0.0,0.15,0.0,-4.89,37.34,29.15,-88.81,-73.7,3.25,19.3,-70.45,-51.15

Delta Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,-0.0,0.0,0.0,0.0,-0.0,0.0,-29.5,66.65,-0.0,-0.0,-44.81,-3.5,37.15,-48.31,-11.16
2,0.0,0.0,-0.0,0.0,0.0,0.0,-31.44,58.09,-0.0,-0.0,-36.75,-3.87,26.65,-40.62,-13.97
3,0.0,0.0,-0.0,0.0,-0.0,0.0,-29.14,57.79,0.0,-0.0,-40.53,-3.62,28.65,-44.14,-15.49
4,-0.0,0.0,0.0,0.0,0.0,0.0,-27.44,55.69,-0.0,-0.0,-36.71,-3.47,28.25,-40.18,-11.93
